# List of BGC intercomparison runs to pull data from
Team	Run				Forcing	LUC		Directory
ORNL	FLUXNET,IT-Ro2	Local	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Fluxnet/site_output/ELM_RDCTCv1_IT-Ro2_ICB20TRCNPRDCTCBC/run
ORNL	FLUXNET,US-PFa	Local	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Fluxnet/site_output/ELM_RDCTCv1_US-PFa_ICB20TRCNPRDCTCBC/run
ORNL	FLUXNET,DE-Tha	Local	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Fluxnet/site_output/ELM_RDCTCv1_DE-Tha_ICB20TRCNPRDCTCBC/run
ORNL	FLUXNET,NL-Loo	Local	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Fluxnet/site_output/ELM_RDCTCv1_NL-Loo_ICB20TRCNPRDCTCBC/run
ORNL	FLUXNET,US-SRM	Local	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Fluxnet/site_output/ELM_RDCTCv1_US-SRM_ICB20TRCNPRDCTCBC/run
ORNL	Global			GSWP3	NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Global_2degree/ELM_RDCTCv1_GSWP3_f19_f19_ICB20TRCNRDCTCBC/nolanduse/
ORNL	Global			GSWP3	LUC		/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Global_2degree/ELM_RDCTCv1_GSWP3_f19_f19_ICB20TRCNRDCTCBC/landuse/
ORNL	Global			CRU		NoLUC	/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Global_2degree/ELM_RDCTCv1_CRU5_f19_f19_ICB20TRCNRDCTCBC/nolanduse/
ORNL	Global			CRU		LUC		/global/cscratch1/sd/ricciuto/ORNL_BGC_results/Global_2degree/ELM_RDCTCv1_CRU5_f19_f19_ICB20TRCNRDCTCBC/landuse/
LBNL	Global			GSWP3	LUC		/project/projectdirs/acme/qzhu/bgc-istudy/global_exp/GSWP3
LBNL	Global			GSWP3	NoLUC	/project/projectdirs/acme/qzhu/bgc-istudy/global_exp/GSWP3_noLU
LBNL	Global			CRU		LUC		/project/projectdirs/acme/qzhu/bgc-istudy/global_exp/CRUNCEP
LBNL	Global			CRU		NoLUC	/project/projectdirs/acme/qzhu/bgc-istudy/global_exp/CRUNCEP_noLU
